"VisitID","Species","Lifestage","ModeledArea","WUA","normalizedWUA","SiteName","WatershedName","VisitYear","Stream","juv.length.m","juv.terr.m2","redd.area.m2","capacity"
107,"Chinook","Spawner",409.73,114.511168,0.279479579,"CBW05583-490810","Upper Grande Ronde",2011,"Sheep Creek",NA,NA,6.7,4.2728047761194
107,"Steelhead","Spawner",409.73,155.2553486,0.378921115,"CBW05583-490810","Upper Grande Ronde",2011,"Sheep Creek",NA,NA,4.8,8.08621607291667
1086,"Chinook","Spawner",582.35,142.0754136,0.243969114,"CBW05583-109994","Upper Grande Ronde",2012,"Middle Fork Catherine Creek",NA,NA,6.7,5.30132140298507
1086,"Steelhead","Spawner",582.35,145.2650069,0.249446221,"CBW05583-109994","Upper Grande Ronde",2012,"Middle Fork Catherine Creek",NA,NA,4.8,7.56588577604167
112,"Chinook","Spawner",267.17,160.4651937,0.600610823,"dsgn4-000006","Upper Grande Ronde",2011,"West Chicken Creek",NA,NA,6.7,5.98750722761194
112,"Steelhead","Spawner",267.17,185.1595762,0.693040297,"dsgn4-000006","Upper Grande Ronde",2011,"West Chicken Creek",NA,NA,4.8,9.64372792708333
114,"Chinook","Spawner",1059.68,585.8451251,0.552850979,"dsgn4-000009","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,6.7,21.8598927276119
114,"Steelhead","Spawner",1059.68,694.6649667,0.655542208,"dsgn4-000009","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,4.8,36.180467015625
117,"Chinook","Spawner",1291.16,661.1638283,0.512069634,"dsgn4-000093","Upper Grande Ronde",2011,"Meadow Creek",NA,NA,6.7,24.6702921007463
117,"Steelhead","Spawner",1291.16,698.8962503,0.541293295,"dsgn4-000093","Upper Grande Ronde",2011,"Meadow Creek",NA,NA,4.8,36.4008463697917
120,"Chinook","Spawner",5360.83,2943.035787,0.54898883,"dsgn4-000202","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,6.7,109.814768171642
120,"Steelhead","Spawner",5360.83,3320.658442,0.61942991,"dsgn4-000202","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,4.8,172.950960520833
121,"Chinook","Spawner",2895.93,1163.220598,0.40167428,"dsgn4-000213","Upper Grande Ronde",2011,"Meadow Creek",NA,NA,6.7,43.4037536567164
121,"Steelhead","Spawner",2895.93,1342.813365,0.463689856,"dsgn4-000213","Upper Grande Ronde",2011,"Meadow Creek",NA,NA,4.8,69.93819609375
122,"Chinook","Spawner",10750.32,3613.225572,0.336104002,"dsgn4-000245","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,6.7,134.821849701493
122,"Steelhead","Spawner",10750.32,4427.73443,0.411870012,"dsgn4-000245","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,4.8,230.611168229167
123,"Chinook","Spawner",5021,1932.023089,0.384788506,"dsgn4-000277","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,6.7,72.0904137686567
123,"Steelhead","Spawner",5021,1970.215711,0.392395083,"dsgn4-000277","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,4.8,102.615401614583
1330,"Chinook","Spawner",9405.77,4273.710984,0.454371198,"CBW05583-071770","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,6.7,159.466827761194
1330,"Steelhead","Spawner",9405.77,4627.621315,0.491998137,"CBW05583-071770","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,4.8,241.021943489583
1331,"Chinook","Spawner",967.91,479.947326,0.495859456,"CBW05583-099818","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,6.7,17.9084823134328
1331,"Steelhead","Spawner",967.91,567.6885502,0.586509645,"CBW05583-099818","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,4.8,29.5671119895833
1332,"Chinook","Spawner",10167.36,3007.75331,0.295824414,"CBW05583-109658","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,6.7,112.229601119403
1332,"Steelhead","Spawner",10167.36,4422.621113,0.434982248,"CBW05583-109658","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,4.8,230.344849635417
1335,"Chinook","Spawner",139.05,14.73158819,0.105944539,"CBW05583-294202","Upper Grande Ronde",2013,"West Chicken Creek",NA,NA,6.7,0.549686126492537
1335,"Steelhead","Spawner",139.05,19.40192757,0.139532021,"CBW05583-294202","Upper Grande Ronde",2013,"West Chicken Creek",NA,NA,4.8,1.0105170609375
1337,"Chinook","Spawner",1708.81,469.3095681,0.274641164,"CBW05583-468458","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,6.7,17.5115510485075
1337,"Steelhead","Spawner",1708.81,478.6306207,0.280095868,"CBW05583-468458","Upper Grande Ronde",2013,"Grande Ronde River",NA,NA,4.8,24.9286781614583
1343,"Chinook","Spawner",2622.97,792.1947965,0.302022058,"CBW05583-036266","Upper Grande Ronde",2013,"Catherine Creek",NA,NA,6.7,29.5595073320896
1343,"Steelhead","Spawner",2622.97,800.1351944,0.305049312,"CBW05583-036266","Upper Grande Ronde",2013,"Catherine Creek",NA,NA,4.8,41.6737080416667
1344,"Chinook","Spawner",1000.9,306.678989,0.306403226,"CBW05583-204202","Upper Grande Ronde",2013,"South Fork Catherine Creek",NA,NA,6.7,11.443245858209
1344,"Steelhead","Spawner",1000.9,326.0338244,0.325740658,"CBW05583-204202","Upper Grande Ronde",2013,"South Fork Catherine Creek",NA,NA,4.8,16.9809283541667
1503,"Chinook","Spawner",649.87,80.98895465,0.124623316,"ORW03446-101560","Upper Grande Ronde",2013,"Meadow Creek",NA,NA,6.7,3.02197591977612
1503,"Steelhead","Spawner",649.87,155.6765087,0.239550231,"ORW03446-101560","Upper Grande Ronde",2013,"Meadow Creek",NA,NA,4.8,8.10815149479167
1556,"Chinook","Spawner",1717.9,891.5082787,0.518952371,"CBW05583-048559","Lemhi",2013,"Hayden Creek",NA,NA,6.7,33.2652342798507
1556,"Steelhead","Spawner",1717.9,810.1844491,0.471613277,"CBW05583-048559","Lemhi",2013,"Hayden Creek",NA,NA,4.8,42.1971067239583
16,"Chinook","Spawner",553.79,282.8249876,0.510708008,"CBW05583-108010","Upper Grande Ronde",2011,"Limber Jim Creek",NA,NA,6.7,10.5531711791045
16,"Steelhead","Spawner",553.79,313.1298698,0.565430704,"CBW05583-108010","Upper Grande Ronde",2011,"Limber Jim Creek",NA,NA,4.8,16.3088473854167
18,"Chinook","Spawner",642.65,258.566283,0.402343862,"CBW05583-138554","Upper Grande Ronde",2011,"Sheep Creek",NA,NA,6.7,9.64799563432836
18,"Steelhead","Spawner",642.65,316.8861179,0.493092847,"CBW05583-138554","Upper Grande Ronde",2011,"Sheep Creek",NA,NA,4.8,16.5044853072917
2004,"Chinook","Spawner",1695.96,996.3250512,0.587469664,"CBW05583-138666","Upper Grande Ronde",2014,"North Fork Catherine Creek",NA,NA,6.7,37.176307880597
2004,"Steelhead","Spawner",1695.96,1008.276474,0.59451666,"CBW05583-138666","Upper Grande Ronde",2014,"North Fork Catherine Creek",NA,NA,4.8,52.5143996875
2008,"Chinook","Spawner",4262.63,2659.269996,0.623856632,"CBW05583-405674","Upper Grande Ronde",2014,"Catherine Creek",NA,NA,6.7,99.2264923880597
2008,"Steelhead","Spawner",4262.63,2841.175984,0.666531222,"CBW05583-405674","Upper Grande Ronde",2014,"Catherine Creek",NA,NA,4.8,147.977915833333
2160,"Chinook","Spawner",200.07,22.73294798,0.113624971,"CBW05583-498162","John Day",2014,"North Fork Elk Creek",NA,NA,6.7,0.84824432761194
2160,"Steelhead","Spawner",200.07,26.41966672,0.132052115,"CBW05583-498162","John Day",2014,"North Fork Elk Creek",NA,NA,4.8,1.37602430833333
2185,"Chinook","Spawner",4729.63,1887.809491,0.39914528,"YFI00001-002166","Yankee Fork",2014,"Yankee Fork",NA,NA,6.7,70.4406526492537
2185,"Steelhead","Spawner",4729.63,2011.525408,0.425302911,"YFI00001-002166","Yankee Fork",2014,"Yankee Fork",NA,NA,4.8,104.766948333333
2186,"Chinook","Spawner",2276.37,879.1610608,0.386211846,"YFI00001-002159","Yankee Fork",2014,"Yankee Fork",NA,NA,6.7,32.8045171940298
2186,"Steelhead","Spawner",2276.37,921.290188,0.404718999,"YFI00001-002159","Yankee Fork",2014,"Yankee Fork",NA,NA,4.8,47.9838639583333
2191,"Chinook","Spawner",3062.88,1526.113915,0.498261086,"YFI00001-000851","Yankee Fork",2014,"Yankee Fork",NA,NA,6.7,56.9445490671642
2191,"Steelhead","Spawner",3062.88,1665.435832,0.543748313,"YFI00001-000851","Yankee Fork",2014,"Yankee Fork",NA,NA,4.8,86.7414495833333
2199,"Chinook","Spawner",1006.12,356.2810682,0.354113891,"YFI00001-000727","Yankee Fork",2014,"Eightmile Creek",NA,NA,6.7,13.2940697089552
2199,"Steelhead","Spawner",1006.12,387.6953069,0.385337044,"YFI00001-000727","Yankee Fork",2014,"Eightmile Creek",NA,NA,4.8,20.1924639010417
2200,"Chinook","Spawner",2297.2,380.4437682,0.165611949,"YFI00001-001411","Yankee Fork",2014,"West Fork Yankee Fork",NA,NA,6.7,14.1956629925373
2200,"Steelhead","Spawner",2297.2,768.0528857,0.334343064,"YFI00001-001411","Yankee Fork",2014,"West Fork Yankee Fork",NA,NA,4.8,40.0027544635417
2201,"Chinook","Spawner",594.26,173.9820357,0.292770901,"YFI00001-001288","Yankee Fork",2014,"Lightning Creek",NA,NA,6.7,6.49186700373134
2201,"Steelhead","Spawner",594.26,175.841534,0.2959,"YFI00001-001288","Yankee Fork",2014,"Lightning Creek",NA,NA,4.8,9.15841322916667
2205,"Chinook","Spawner",308.81,117.227383,0.379610061,"YFI00001-000436","Yankee Fork",2014,"Mckay Creek",NA,NA,6.7,4.37415608208955
2205,"Steelhead","Spawner",308.81,118.9649826,0.385236821,"YFI00001-000436","Yankee Fork",2014,"Mckay Creek",NA,NA,4.8,6.19609284375
2206,"Chinook","Spawner",1135.22,675.9163972,0.595405646,"YFI00001-000320","Yankee Fork",2014,"Yankee Fork",NA,NA,6.7,25.2207610895522
2206,"Steelhead","Spawner",1135.22,691.7983985,0.609395887,"YFI00001-000320","Yankee Fork",2014,"Yankee Fork",NA,NA,4.8,36.0311665885417
2207,"Chinook","Spawner",5727.81,3854.090147,0.672873253,"YFI00001-000323","Yankee Fork",2014,"Yankee Fork",NA,NA,6.7,143.809333843284
2207,"Steelhead","Spawner",5727.81,3971.111066,0.69330356,"YFI00001-000323","Yankee Fork",2014,"Yankee Fork",NA,NA,4.8,206.828701354167
2208,"Chinook","Spawner",4513.33,2702.609786,0.598806156,"YFI00001-000231","Yankee Fork",2014,"Yankee Fork",NA,NA,6.7,100.843648731343
2208,"Steelhead","Spawner",4513.33,2947.20756,0.65300068,"YFI00001-000231","Yankee Fork",2014,"Yankee Fork",NA,NA,4.8,153.50039375
2209,"Chinook","Spawner",1698.66,664.6869026,0.391300733,"YFI00001-000218","Yankee Fork",2014,"West Fork Yankee Fork",NA,NA,6.7,24.8017500970149
2209,"Steelhead","Spawner",1698.66,718.2728647,0.422846753,"YFI00001-000218","Yankee Fork",2014,"West Fork Yankee Fork",NA,NA,4.8,37.4100450364583
2210,"Chinook","Spawner",6509.17,1425.437331,0.218989108,"YFI00001-000213","Yankee Fork",2014,"Yankee Fork",NA,NA,6.7,53.1879601119403
2210,"Steelhead","Spawner",6509.17,2927.245481,0.44971102,"YFI00001-000213","Yankee Fork",2014,"Yankee Fork",NA,NA,4.8,152.460702135417
2294,"Chinook","Spawner",196.98,21.62358254,0.109775523,"CBW05583-050162","John Day",2014,"Lick Creek",NA,NA,6.7,0.806850094776119
2294,"Steelhead","Spawner",196.98,26.037405,0.132182988,"CBW05583-050162","John Day",2014,"Lick Creek",NA,NA,4.8,1.35611484375
2296,"Chinook","Spawner",128.22,13.37359318,0.104301928,"CBW05583-265074","John Day",2014,"South Fork Murderers Creek",NA,NA,6.7,0.499014670895522
2296,"Steelhead","Spawner",128.22,15.51708557,0.121019229,"CBW05583-265074","John Day",2014,"South Fork Murderers Creek",NA,NA,4.8,0.808181540104167
2298,"Chinook","Spawner",179.64,30.04358998,0.16724332,"CBW05583-515058","John Day",2014,"Camp Creek",NA,NA,6.7,1.12102947686567
2298,"Steelhead","Spawner",179.64,43.69611003,0.243242652,"CBW05583-515058","John Day",2014,"Camp Creek",NA,NA,4.8,2.2758390640625
2435,"Chinook","Spawner",465.47,79.5784413,0.170963631,"CBW05583-423282","John Day",2014,"Murderers Creek",NA,NA,6.7,2.96934482462687
2435,"Steelhead","Spawner",465.47,114.6376829,0.24628372,"CBW05583-423282","John Day",2014,"Murderers Creek",NA,NA,4.8,5.97071265104167
2486,"Chinook","Spawner",323.29,98.66264423,0.305183099,"CBW05583-232178","John Day",2014,"Clear Creek",NA,NA,6.7,3.6814419488806
2486,"Steelhead","Spawner",323.29,130.3048929,0.403058842,"CBW05583-232178","John Day",2014,"Clear Creek",NA,NA,4.8,6.786713171875
2494,"Chinook","Spawner",514.33,191.7485131,0.372812228,"CBW05583-282354","John Day",2014,"Middle Fork John Day River",NA,NA,6.7,7.15479526492537
2494,"Steelhead","Spawner",514.33,260.8361883,0.507137807,"CBW05583-282354","John Day",2014,"Middle Fork John Day River",NA,NA,4.8,13.585218140625
2568,"Chinook","Spawner",2389.47,1105.789759,0.462776163,"CBW05583-497650","John Day",2014,"Middle Fork John Day River",NA,NA,6.7,41.2608119029851
2568,"Steelhead","Spawner",2389.47,1542.568984,0.645569513,"CBW05583-497650","John Day",2014,"Middle Fork John Day River",NA,NA,4.8,80.3421345833333
2569,"Chinook","Spawner",1587.33,713.7424666,0.449649705,"CBW05583-314610","John Day",2014,"Middle Fork John Day River",NA,NA,6.7,26.6321815895522
2569,"Steelhead","Spawner",1587.33,948.8212294,0.597746675,"CBW05583-314610","John Day",2014,"Middle Fork John Day River",NA,NA,4.8,49.4177723645833
2585,"Chinook","Spawner",5682.88,3693.543683,0.649942227,"CBW05583-072139","Tucannon",2014,"Tucannon River",NA,NA,6.7,137.818794141791
2585,"Steelhead","Spawner",5682.88,3997.889897,0.703497152,"CBW05583-072139","Tucannon",2014,"Tucannon River",NA,NA,4.8,208.223432135417
2592,"Chinook","Spawner",224.73,24.27077673,0.107999718,"CBW05583-150898","John Day",2014,"Murderers Creek",NA,NA,6.7,0.90562599738806
2592,"Steelhead","Spawner",224.73,26.776982,0.119151791,"CBW05583-150898","John Day",2014,"Murderers Creek",NA,NA,4.8,1.39463447916667
268,"Chinook","Spawner",427.96,205.6222944,0.480470825,"CBW05583-503467","Entiat",2011,"Tillicum Creek",NA,NA,6.7,7.67247367164179
268,"Steelhead","Spawner",427.96,224.0460449,0.523520995,"CBW05583-503467","Entiat",2011,"Tillicum Creek",NA,NA,4.8,11.6690648385417
2689,"Chinook","Spawner",963.76,419.8323989,0.43561924,"CBW05583-168191","Tucannon",2014,"Tucannon River",NA,NA,6.7,15.6653880186567
2689,"Steelhead","Spawner",963.76,451.1748492,0.468140252,"CBW05583-168191","Tucannon",2014,"Tucannon River",NA,NA,4.8,23.4986900625
34,"Chinook","Spawner",167.54,40.30939922,0.240595674,"CBW05583-415403","Entiat",2011,"Brennegan Creek",NA,NA,6.7,1.50408206044776
34,"Steelhead","Spawner",167.54,44.50093368,0.265613786,"CBW05583-415403","Entiat",2011,"Brennegan Creek",NA,NA,4.8,2.3177569625
4,"Chinook","Spawner",460.56,76.57332543,0.166261346,"CBW05583-035679","Lemhi",2011,"Agency Creek",NA,NA,6.7,2.85721363544776
4,"Steelhead","Spawner",460.56,198.9639161,0.432004334,"CBW05583-035679","Lemhi",2011,"Agency Creek",NA,NA,4.8,10.3627039635417
45,"Chinook","Spawner",840.05,533.1585583,0.634674791,"dsgn4-000094","Upper Grande Ronde",2011,"Fly Creek",NA,NA,6.7,19.8939760559701
45,"Steelhead","Spawner",840.05,594.9929936,0.708282833,"dsgn4-000094","Upper Grande Ronde",2011,"Fly Creek",NA,NA,4.8,30.9892184166667
555,"Chinook","Spawner",689.75,195.4094713,0.283304779,"CBW05583-453946","Upper Grande Ronde",2012,"Sheep Creek",NA,NA,6.7,7.29139818283582
555,"Steelhead","Spawner",689.75,201.4169444,0.292014417,"CBW05583-453946","Upper Grande Ronde",2012,"Sheep Creek",NA,NA,4.8,10.4904658541667
556,"Chinook","Spawner",1118.21,155.2176488,0.138809033,"CBW05583-506682","Upper Grande Ronde",2012,"Fly Creek",NA,NA,6.7,5.79170331343284
556,"Steelhead","Spawner",1118.21,155.7092716,0.139248685,"CBW05583-506682","Upper Grande Ronde",2012,"Fly Creek",NA,NA,4.8,8.10985789583333
580,"Chinook","Spawner",1104.43,127.5341993,0.115475131,"ORW03446-147928","Upper Grande Ronde",2012,"Five Points Creek",NA,NA,6.7,4.75873877985075
580,"Steelhead","Spawner",1104.43,128.29858,0.116167236,"ORW03446-147928","Upper Grande Ronde",2012,"Five Points Creek",NA,NA,4.8,6.68221770833333
666,"Chinook","Spawner",482.67,82.72328179,0.171386831,"CBW05583-298738","John Day",2012,"Middle Fork John Day River",NA,NA,6.7,3.08668961902985
666,"Steelhead","Spawner",482.67,83.01307567,0.171987229,"CBW05583-298738","John Day",2012,"Middle Fork John Day River",NA,NA,4.8,4.32359769114583
687,"Chinook","Spawner",943.45,613.8150623,0.650606881,"CBW05583-231826","South Fork Salmon",2012,"Lake Creek",NA,NA,6.7,22.9035471007463
687,"Steelhead","Spawner",943.45,650.365759,0.689348412,"CBW05583-231826","South Fork Salmon",2012,"Lake Creek",NA,NA,4.8,33.8732166145833
7,"Chinook","Spawner",437.34,139.0089741,0.317851041,"CBW05583-049615","Lemhi",2011,"Canyon Creek",NA,NA,6.7,5.18690201865672
7,"Steelhead","Spawner",437.34,219.3062743,0.501454873,"CBW05583-049615","Lemhi",2011,"Canyon Creek",NA,NA,4.8,11.4222017864583
792,"Chinook","Spawner",2737.1,543.7167664,0.198647023,"CBW05583-285498","Upper Grande Ronde",2012,"Meadow Creek",NA,NA,6.7,20.2879390447761
792,"Steelhead","Spawner",2737.1,564.8038636,0.206351198,"CBW05583-285498","Upper Grande Ronde",2012,"Meadow Creek",NA,NA,4.8,29.4168678958333
793,"Chinook","Spawner",304.05,54.62268428,0.179650335,"CBW05583-335162","Upper Grande Ronde",2012,"Sheep Creek",NA,NA,6.7,2.03815986119403
793,"Steelhead","Spawner",304.05,86.72220559,0.285223501,"CBW05583-335162","Upper Grande Ronde",2012,"Sheep Creek",NA,NA,4.8,4.51678154114583
796,"Chinook","Spawner",698.62,79.13282258,0.113270193,"CBW05583-421786","Upper Grande Ronde",2012,"Rock Creek",NA,NA,6.7,2.95271726044776
796,"Steelhead","Spawner",698.62,89.52411368,0.128144218,"CBW05583-421786","Upper Grande Ronde",2012,"Rock Creek",NA,NA,4.8,4.66271425416667
858,"Chinook","Spawner",1691.08,1028.546882,0.608218938,"CBW05583-087698","South Fork Salmon",2012,"Secesh River",NA,NA,6.7,38.378615
858,"Steelhead","Spawner",1691.08,1191.546629,0.704606896,"CBW05583-087698","South Fork Salmon",2012,"Secesh River",NA,NA,4.8,62.0597202604167
86,"Chinook","Spawner",913.84,192.5127217,0.210663488,"CBW05583-206314","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,6.7,7.18331051119403
86,"Steelhead","Spawner",913.84,196.6915886,0.215236353,"CBW05583-206314","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,4.8,10.2443535729167
88,"Chinook","Spawner",363.29,141.8292396,0.390402267,"CBW05583-228666","Upper Grande Ronde",2011,"Sheep Creek",NA,NA,6.7,5.29213580597015
88,"Steelhead","Spawner",363.29,154.7942122,0.426089934,"CBW05583-228666","Upper Grande Ronde",2011,"Sheep Creek",NA,NA,4.8,8.06219855208333
880,"Chinook","Spawner",1032.99,165.6548103,0.160364389,"CBW05583-498490","Upper Grande Ronde",2012,"Meadow Creek",NA,NA,6.7,6.1811496380597
880,"Steelhead","Spawner",1032.99,271.4048268,0.262737129,"CBW05583-498490","Upper Grande Ronde",2012,"Meadow Creek",NA,NA,4.8,14.1356680625
89,"Chinook","Spawner",4060.54,2327.223751,0.573131591,"CBW05583-235322","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,6.7,86.8367071268657
89,"Steelhead","Spawner",4060.54,2482.095961,0.611272383,"CBW05583-235322","Upper Grande Ronde",2011,"Grande Ronde River",NA,NA,4.8,129.275831302083
