X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 112,1.0,0.64195514,0.0,-3.4028235E38,2.0,-0.5983685
variable 1,variable 113,1.0,0.6042986,0.0,-3.4028235E38,2.0,-0.62904805
variable 1,variable 115,1.0,0.65321755,0.0,-3.4028235E38,2.0,-0.5888824
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 122,0.73944,-0.1898331,0.0,0.73944,2.0,0.9639881
variable 1,variable 49,0.58697,0.045192957,0.067609966,0.58697,5.169925,0.736055
variable 1,variable 55,0.58351,0.15578496,0.061639965,0.58351,5.169925,0.6540069
variable 1,variable 45,0.57199,0.2669849,0.07119998,0.57199,5.169925,0.5522727
variable 1,variable 121,0.56676,0.14097393,0.050090015,0.56676,5.169925,0.65252286
variable 1,variable 142,0.55701,0.03616053,0.10944998,0.55701,5.169925,0.721699
variable 1,variable 48,0.55353,0.008199036,0.05505997,0.55353,5.169925,0.73846525
variable 1,variable 56,0.55249,0.1073046,0.067119986,0.55249,5.169925,0.66722214
variable 1,variable 50,0.54197,0.007486582,0.05351001,0.54197,5.169925,0.73108375
variable 1,variable 101,0.54168,0.07365638,0.06439003,0.54168,4.807355,0.6841225
variable 1,variable 46,0.53993,0.20461395,0.06649998,0.53993,5.169925,0.5790648
variable 1,variable 137,0.53273,0.47218442,0.05750999,0.53273,5.169925,0.24606009
variable 1,variable 53,0.5313,0.185168,0.06621,0.5313,5.169925,0.58832985
variable 1,variable 91,0.51573,0.12088418,0.06348002,0.51573,4.807355,0.6283676
variable 1,variable 97,0.51492,0.036937386,0.061229974,0.51492,4.807355,0.69136286
variable 1,variable 82,0.50342,0.13346153,0.06239,0.50342,5.169925,0.6082421
variable 1,variable 51,0.49843,0.1432277,0.06741002,0.49843,5.169925,0.5959885
variable 1,variable 143,0.48899,-0.015451372,0.06390998,0.48899,5.169925,0.71024036
variable 1,variable 73,0.48098,0.22990346,0.07973999,0.48098,5.169925,0.5010754
variable 1,variable 47,0.47382,0.12416744,0.058459997,0.47382,5.169925,0.59131426
variable 1,variable 141,0.47256,0.28022653,0.04629001,0.46222,4.807355,0.4385584
