X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 112,1.0,0.5609759,0.0,-3.4028235E38,2.0,-0.66258895
variable 1,variable 113,1.0,0.5239785,0.0,-3.4028235E38,2.0,-0.68994313
variable 1,variable 115,1.0,0.57307154,0.0,-3.4028235E38,2.0,-0.6533976
variable 1,variable 122,1.0,0.25512868,0.0,1.0,2.0,0.8630593
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 45,0.94966,0.020798802,0.063329995,0.94966,5.169925,0.96377444
variable 1,variable 121,0.9099,-0.06257421,0.029630005,0.9099,5.169925,0.9861411
variable 1,variable 55,0.86651,-0.095779,0.04460001,0.86651,5.169925,0.9809633
variable 1,variable 53,0.81177,-0.025315166,0.030659974,0.81177,5.169925,0.9149236
variable 1,variable 56,0.80744,-0.09234691,0.023959994,0.80744,5.169925,0.94857097
variable 1,variable 46,0.80688,-0.032922447,0.030299962,0.80688,5.169925,0.91640735
variable 1,variable 82,0.80166,-0.10136926,0.041209996,0.80166,5.169925,0.9502785
variable 1,variable 101,0.79805,0.072323024,0.036909997,0.79805,4.807355,0.8518961
variable 1,variable 91,0.7939,0.17731887,0.045809984,0.7939,4.807355,0.7852268
variable 1,variable 50,0.79361,0.028971195,0.04675001,0.79361,5.169925,0.87443626
variable 1,variable 97,0.79096,0.03835857,0.05495,0.79096,4.807355,0.86752605
variable 1,variable 49,0.78738,0.023095787,0.04446,0.78738,5.169925,0.8742335
variable 1,variable 48,0.78343,0.02156347,0.056760013,0.78343,5.169925,0.87284964
variable 1,variable 142,0.76673,0.05254841,0.045700014,0.76673,5.169925,0.84509265
variable 1,variable 143,0.7549,0.05247903,0.057690024,0.7549,5.169925,0.83810556
variable 1,variable 73,0.69601,0.13191158,0.058070004,0.69601,5.169925,0.75106484
variable 1,variable 47,0.69377,-0.08628088,0.030410051,0.69377,5.169925,0.8832049
variable 1,variable 51,0.69005,-0.11291593,0.064040005,0.69005,5.169925,0.89608365
variable 1,variable 141,0.68791,0.0017043352,0.06330001,0.6744,4.807355,0.82837534
variable 1,variable 16,0.66903,0.05797714,0.05233997,0.66903,5.169925,0.7816987
variable 1,variable 65,0.66126,0.1644674,0.04689002,0.66126,5.169925,0.7048352
variable 1,variable 106,0.6531,0.014668465,0.07661998,0.6531,5.169925,0.7990191
variable 1,variable 62,0.6356,0.09621894,0.079349995,0.6356,5.169925,0.73442566
variable 1,variable 105,0.57119,0.10004014,0.07170999,0.57119,5.169925,0.6864036
variable 1,variable 60,0.54686,0.16900715,0.04136002,0.54686,5.169925,0.61469734
variable 1,variable 137,0.54284,0.5169143,0.07271001,0.54284,5.169925,0.16101453
variable 1,variable 84,0.5099,0.117215395,0.09279001,0.5099,5.169925,0.6266455
variable 1,variable 118,0.48221,-0.02230528,0.07347,0.48221,5.169925,0.7102924
variable 1,variable 57,0.47997,0.10819927,0.09765002,0.47997,5.169925,0.60973006
variable 1,variable 64,0.47853,0.22945099,0.018920004,0.47853,5.169925,-0.49907815
variable 1,variable 92,0.45914,-0.11044127,0.0,-3.4028235E38,2.0,0.7547061
variable 1,variable 102,0.45914,-0.38078022,0.0,-3.4028235E38,2.0,0.9164716
variable 1,variable 107,0.45914,0.40251622,0.0,-3.4028235E38,2.0,-0.2379575
variable 1,variable 108,0.45914,0.082571596,0.0,-3.4028235E38,2.0,-0.6136517
variable 1,variable 110,0.45914,0.27671722,0.0,-3.4028235E38,2.0,-0.4271098
variable 1,variable 114,0.45914,-0.21346873,0.0,-3.4028235E38,2.0,0.82012725
variable 1,variable 116,0.45914,-0.16077054,0.0,-3.4028235E38,2.0,0.787344
variable 1,variable 74,0.45811,0.20984238,0.02816999,0.45811,5.169925,-0.4982646
variable 1,variable 70,0.45545,0.05685383,0.14489001,0.45545,5.169925,0.63134474
variable 1,variable 59,0.45194,0.29149136,0.110599995,0.45194,5.169925,-0.4005604
variable 1,variable 69,0.44189,0.33916065,0.109950006,0.44189,5.169925,-0.3205142
variable 1,variable 120,0.42237,-0.03436017,0.04790002,0.42237,5.169925,0.67581815
variable 1,variable 52,0.42169,0.023322433,0.075239986,0.42169,5.169925,0.63116366
variable 1,variable 77,0.40996,0.24633507,0.039030015,0.40996,5.169925,-0.4045058
variable 1,variable 54,0.40662,-0.024245769,0.06549999,0.40662,5.169925,0.65640366
variable 1,variable 119,0.40027,0.3380391,0.06192997,0.40027,5.169925,-0.24946117
variable 1,variable 83,0.3953,0.28775746,0.05144,0.3953,5.169925,0.3279368
