X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 112,1.0,0.7056569,0.0,-3.4028235E38,2.0,-0.542534
variable 1,variable 113,1.0,0.75716007,0.0,-3.4028235E38,2.0,-0.49278793
variable 1,variable 115,1.0,0.7889712,0.0,-3.4028235E38,2.0,-0.4593787
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 122,0.73944,-0.0856089,0.0,0.73944,2.0,0.90832204
variable 1,variable 49,0.50787,0.0442079,0.06606999,0.50787,5.169925,0.6809274
variable 1,variable 50,0.50506,0.049459547,0.06038001,0.50506,5.169925,0.67498183
variable 1,variable 142,0.5041,0.047946125,0.109890014,0.5041,5.169925,0.6753917
variable 1,variable 48,0.50085,0.037130684,0.0519,0.50085,5.169925,0.6809694
variable 1,variable 45,0.49594,0.25701603,0.06264001,0.49594,5.169925,0.4887985
variable 1,variable 82,0.49141,0.20089826,0.040109992,0.49141,5.169925,0.5389914
variable 1,variable 16,0.49017,0.3238594,0.09261,0.49017,5.169925,0.40781197
variable 1,variable 55,0.4861,0.12043181,0.03373,0.4861,5.169925,0.60470504
variable 1,variable 124,0.4842,0.44173533,0.20798999,0.26433,2.5849626,0.20606954
variable 1,variable 97,0.48402,0.085278094,0.045190006,0.48402,4.807355,0.63146013
variable 1,variable 101,0.48324,0.08652872,0.045369983,0.48324,4.807355,0.6298502
variable 1,variable 91,0.48231,0.14436418,0.06619999,0.48231,4.807355,0.5813311
variable 1,variable 121,0.48024,0.114669114,0.037279993,0.48024,5.169925,0.60462457
variable 1,variable 137,0.47069,0.44455427,0.07071,0.47069,5.169925,0.1616655
variable 1,variable 92,0.45914,-0.18366325,0.0,-3.4028235E38,2.0,0.8017501
variable 1,variable 102,0.45914,-0.37211192,0.0,-3.4028235E38,2.0,0.9117302
variable 1,variable 107,0.45914,0.3388758,0.0,-3.4028235E38,2.0,-0.3467913
variable 1,variable 108,0.45914,0.12899822,0.0,-3.4028235E38,2.0,-0.57457966
