X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 112,1.0,0.6143187,0.0,-3.4028235E38,2.0,-0.6210324
variable 1,variable 113,1.0,0.6681118,0.0,-3.4028235E38,2.0,-0.57609737
variable 1,variable 115,1.0,0.70718664,0.0,-3.4028235E38,2.0,-0.5411223
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 121,0.81359,-0.037341595,0.083739996,0.81359,5.169925,0.92245954
variable 1,variable 45,0.78067,0.0219419,0.020470023,0.78067,5.169925,0.87105
variable 1,variable 55,0.76394,-0.075962186,0.06350005,0.76394,5.169925,0.91646177
variable 1,variable 16,0.75225,0.086352885,0.034720004,0.75225,5.169925,0.8160252
variable 1,variable 46,0.75224,-0.025375247,0.055019975,0.75224,5.169925,0.881825
variable 1,variable 122,0.73944,-0.17808461,0.0,0.73944,2.0,0.9578751
variable 1,variable 53,0.7385,-0.048105597,0.05215001,0.7385,5.169925,0.8869079
variable 1,variable 56,0.71957,-0.045630038,0.055399954,0.71957,5.169925,0.8747571
variable 1,variable 101,0.71609,0.06369245,0.045920014,0.71609,4.807355,0.8077113
variable 1,variable 97,0.70783,0.039594054,0.041620016,0.70783,4.807355,0.817457
variable 1,variable 142,0.70206,0.075987756,0.06501001,0.70206,5.169925,0.79124725
variable 1,variable 91,0.70028,0.13944328,0.055159986,0.70028,4.807355,0.74889034
variable 1,variable 50,0.69948,0.04397428,0.04882002,0.69948,5.169925,0.8096331
variable 1,variable 65,0.69737,0.16064638,0.044910014,0.69737,5.169925,0.7326142
variable 1,variable 48,0.69643,0.040924788,0.065699995,0.69643,5.169925,0.8096328
variable 1,variable 49,0.68735,0.026599467,0.057139993,0.68735,5.169925,0.8128656
variable 1,variable 82,0.68164,-0.057734072,0.06018001,0.68164,5.169925,0.85986865
variable 1,variable 143,0.68133,0.07708943,0.043630004,0.68133,5.169925,0.77732915
variable 1,variable 62,0.65244,0.078768134,0.10908997,0.65244,5.169925,0.7574113
variable 1,variable 141,0.63991,0.027732015,0.061450005,0.63991,4.807355,0.782418
variable 1,variable 47,0.63758,-0.063581824,0.055460006,0.63758,5.0,0.83735406
variable 1,variable 51,0.62916,-0.101184845,0.08618,0.62916,5.0,0.85460216
variable 1,variable 73,0.60521,0.14895979,0.036550015,0.60521,5.169925,0.67546296
variable 1,variable 106,0.58676,0.034270406,0.05193001,0.58676,5.169925,0.74329644
variable 1,variable 74,0.52961,0.26765123,0.044350028,0.52961,5.169925,-0.51181906
variable 1,variable 105,0.48744,0.13259709,0.02651,0.48744,5.169925,0.5956869
variable 1,variable 137,0.48716,0.46956515,0.043829978,0.48716,5.169925,0.1326456
variable 1,variable 92,0.45914,-0.091136694,0.0,-3.4028235E38,2.0,0.7418064
variable 1,variable 102,0.45914,-0.4037673,0.0,-3.4028235E38,2.0,0.928928
variable 1,variable 107,0.45914,0.39230156,0.0,-3.4028235E38,2.0,-0.25853133
variable 1,variable 108,0.45914,0.17399046,0.0,-3.4028235E38,2.0,-0.53399396
variable 1,variable 110,0.45914,0.32165098,0.0,-3.4028235E38,2.0,-0.3707951
variable 1,variable 114,0.45914,0.16971102,0.0,-3.4028235E38,2.0,0.53798604
variable 1,variable 116,0.45914,0.1618,0.0,-3.4028235E38,2.0,0.5452889
variable 1,variable 77,0.45082,0.28334337,0.06718001,0.45082,5.169925,-0.40923908
variable 1,variable 118,0.44869,-0.050380915,0.08974999,0.44869,5.169925,0.7064495
variable 1,variable 119,0.44299,0.37875557,0.036909997,0.44299,5.169925,-0.25344512
variable 1,variable 64,0.43323,0.21173055,0.028540015,0.43323,5.169925,-0.4706373
variable 1,variable 70,0.4238,0.08149028,0.13874,0.4238,5.169925,0.5850724
variable 1,variable 84,0.42369,0.15593964,0.04141,0.42369,5.169925,0.517446
variable 1,variable 120,0.42164,-0.039319843,0.073740005,0.42164,5.169925,0.67894024
variable 1,variable 60,0.42091,0.21993577,0.029610008,0.42091,5.169925,0.4483015
variable 1,variable 78,0.42086,0.18956965,0.018730015,0.42086,5.169925,-0.48092654
variable 1,variable 59,0.4146,0.25667602,0.07084,0.4146,5.169925,-0.3973965
variable 1,variable 52,0.40753,0.02778712,0.10855001,0.40753,5.169925,0.6162328
