X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 102,1.0,0.045941234,0.0,-3.4028235E38,2.0,0.9767593
variable 1,variable 114,1.0,0.48086858,0.0,-3.4028235E38,2.0,0.72050774
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 122,0.58197,-0.34022617,0.0,0.58197,2.0,0.96031046
variable 1,variable 55,0.54666,0.13440996,0.03678,0.54666,5.169925,0.642067
variable 1,variable 49,0.53804,0.026098192,0.07085997,0.53804,5.169925,0.71550107
variable 1,variable 56,0.53037,0.11132786,0.02861002,0.53037,5.169925,0.64733464
variable 1,variable 121,0.53019,0.11565089,0.039520025,0.53019,5.169925,0.6438471
variable 1,variable 45,0.51576,0.24597907,0.052590013,0.51576,5.169925,0.5194044
variable 1,variable 48,0.51562,0.0027905107,0.058809966,0.51562,5.169925,0.71612114
variable 1,variable 53,0.50891,0.15792483,0.035919994,0.50891,5.169925,0.59244
variable 1,variable 142,0.50871,0.0030587316,0.09689003,0.50871,5.169925,0.71109164
variable 1,variable 137,0.50751,0.46144873,0.06564,0.50751,5.169925,0.21461889
variable 1,variable 46,0.50659,0.17283037,0.045870006,0.50659,5.169925,0.57771933
variable 1,variable 50,0.49982,-2.5087595E-4,0.052329987,0.49982,5.169925,0.7071569
variable 1,variable 82,0.49387,0.14980063,0.058009982,0.49387,5.169925,0.58657426
variable 1,variable 51,0.48837,0.1431401,0.05528,0.48837,5.169925,0.5875627
variable 1,variable 47,0.48553,0.149854,0.044169992,0.48553,5.169925,0.5793755
variable 1,variable 101,0.48435,0.056601882,0.07258999,0.48435,4.807355,0.65402454
variable 1,variable 97,0.48344,0.0444704,0.07874,0.48344,4.807355,0.6625478
variable 1,variable 141,0.47727,0.2814089,0.033529997,0.4656,4.807355,0.44256195
variable 1,variable 91,0.47468,0.111783266,0.065589994,0.47468,4.807355,0.6024091
variable 1,variable 143,0.47013,-0.021012962,0.06776002,0.47013,5.169925,0.7008159
variable 1,variable 92,0.45914,-0.15255481,0.0,-3.4028235E38,2.0,0.7821092
variable 1,variable 107,0.45914,0.30695263,0.0,-3.4028235E38,2.0,-0.390112
variable 1,variable 108,0.45914,0.03023535,0.0,-3.4028235E38,2.0,-0.6549081
variable 1,variable 110,0.45914,0.10361108,0.0,-3.4028235E38,2.0,-0.59626245
variable 1,variable 112,0.45914,0.114536345,0.0,-3.4028235E38,2.0,-0.5870295
variable 1,variable 113,0.45914,0.13679129,0.0,-3.4028235E38,2.0,-0.5677576
variable 1,variable 115,0.45914,0.18219209,0.0,-3.4028235E38,2.0,-0.5262584
variable 1,variable 116,0.45914,-0.06387514,0.0,-3.4028235E38,2.0,0.7231979
variable 1,variable 59,0.44163,0.25943407,0.06689,0.44163,5.169925,-0.42684415
variable 1,variable 65,0.43168,0.25006315,0.01703,0.43168,5.169925,0.42616528
variable 1,variable 73,0.43002,0.22067082,0.06974,0.43002,5.169925,0.45754692
variable 1,variable 16,0.42784,0.28046232,0.044320017,0.42784,5.169925,0.383898
variable 1,variable 106,0.41824,0.12076068,0.05159998,0.41824,5.169925,0.54541665
variable 1,variable 105,0.41433,0.2154913,0.09560001,0.41433,5.169925,0.44591334
variable 1,variable 62,0.41411,0.15653151,0.02726999,0.41411,5.169925,0.5075219
variable 1,variable 64,0.40899,0.18597887,0.03896001,0.40899,5.169925,-0.47224054
variable 1,variable 70,0.38582,0.26113224,0.121800005,0.38582,5.169925,0.35311154
variable 1,variable 84,0.33827,0.19982634,0.057160005,0.33827,5.169925,0.37208018
variable 1,variable 118,0.33806,0.03858599,0.026759997,0.33806,5.169925,0.54724216
variable 1,variable 74,0.33524,0.15584357,0.030760005,0.33524,5.169925,-0.42355216
variable 1,variable 67,0.33322,0.15278015,0.06966001,0.33322,5.169925,0.42478213
variable 1,variable 72,0.33257,0.2083321,0.022230014,0.33257,5.169925,-0.35247394
variable 1,variable 52,0.33214,0.09670685,0.031829983,0.33214,5.169925,0.48521453
variable 1,variable 60,0.32882,0.2521815,0.031340003,0.32882,5.169925,0.27683657
variable 1,variable 120,0.32397,-0.0012101531,0.028109998,0.32397,5.169925,0.5702457
