X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 112,1.0,0.56217444,0.0,-3.4028235E38,2.0,-0.66168386
variable 1,variable 113,1.0,0.58115834,0.0,-3.4028235E38,2.0,-0.6471798
variable 1,variable 115,1.0,0.630415,0.0,-3.4028235E38,2.0,-0.607935
variable 1,variable 122,1.0,0.16682017,0.0,1.0,2.0,0.91278684
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 45,0.89678,0.061819315,0.027639985,0.89678,5.169925,0.91376185
variable 1,variable 121,0.88677,-0.05357635,0.028789997,0.88677,5.169925,0.9697146
variable 1,variable 55,0.85181,-0.07447481,0.030900002,0.85181,5.169925,0.9624369
variable 1,variable 53,0.8266,-0.019656658,0.027580023,0.8266,5.169925,0.9199221
variable 1,variable 46,0.81662,-0.026871145,0.023339987,0.81662,5.169925,0.91841775
variable 1,variable 82,0.79824,-0.04080206,0.037530005,0.79824,5.169925,0.9159924
variable 1,variable 56,0.79196,-0.05173725,0.02402997,0.79196,5.169925,0.9185299
variable 1,variable 101,0.76951,0.091249764,0.036059976,0.76951,4.807355,0.82356554
variable 1,variable 97,0.76447,0.06008333,0.05337,0.76447,4.169925,0.83927745
variable 1,variable 91,0.76113,0.18245429,0.044339955,0.76113,4.321928,0.7607074
variable 1,variable 50,0.75267,0.049341083,0.05027002,0.75267,5.169925,0.83864707
variable 1,variable 49,0.74829,0.037995815,0.05269003,0.74829,5.169925,0.84278953
variable 1,variable 142,0.74696,0.062483788,0.04606998,0.74696,5.169925,0.82733077
variable 1,variable 48,0.74311,0.038966298,0.042490005,0.74311,5.169925,0.8391327
variable 1,variable 143,0.73267,0.058539987,0.040879965,0.73267,5.169925,0.8210542
variable 1,variable 65,0.71854,0.052578807,0.027460039,0.71854,5.169925,0.8160645
variable 1,variable 16,0.70425,0.09952235,0.04027003,0.70425,5.169925,0.77764237
variable 1,variable 47,0.68467,-0.07331973,0.03754002,0.68467,5.169925,0.87062603
variable 1,variable 51,0.67011,-0.11501074,0.024069965,0.67011,5.169925,0.8860704
