X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 112,1.0,0.66706514,0.0,-3.4028235E38,2.0,-0.5770051
variable 1,variable 113,1.0,0.6713222,0.0,-3.4028235E38,2.0,-0.5733043
variable 1,variable 115,1.0,0.72094285,0.0,-3.4028235E38,2.0,-0.52825856
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 122,0.73944,-0.24496055,0.0,0.73944,2.0,0.9921696
variable 1,variable 108,0.65485,0.20094085,0.0,-3.4028235E38,2.0,-0.6737278
variable 1,variable 110,0.65485,0.26855633,0.0,-3.4028235E38,2.0,-0.6215253
variable 1,variable 101,0.49161,0.08550981,0.07157999,0.49161,4.807355,0.6372599
variable 1,variable 49,0.47773,-6.741285E-5,0.06312999,0.47773,5.169925,0.6912289
variable 1,variable 142,0.47315,0.0023250282,0.084200025,0.47315,5.169925,0.6861669
variable 1,variable 91,0.47274,0.12793806,0.07560998,0.47274,4.807355,0.5871984
variable 1,variable 16,0.47068,0.31278974,0.09553,0.47068,5.169925,0.39735407
variable 1,variable 55,0.468,0.094726115,0.062380016,0.468,5.169925,0.61096144
variable 1,variable 97,0.46678,0.05753076,0.05525002,0.46678,4.807355,0.6397259
variable 1,variable 48,0.46135,-0.017298698,0.05453998,0.46135,5.169925,0.6918444
variable 1,variable 92,0.45914,-0.23823738,0.0,-3.4028235E38,2.0,0.83509123
variable 1,variable 102,0.45914,-0.50232834,0.0,-3.4028235E38,2.0,0.9805449
variable 1,variable 107,0.45914,0.29299867,0.0,-3.4028235E38,2.0,-0.40760437
variable 1,variable 114,0.45914,-0.17746383,0.0,-3.4028235E38,2.0,0.79787457
variable 1,variable 116,0.45914,-0.1698277,0.0,-3.4028235E38,2.0,0.79307485
variable 1,variable 50,0.45567,-0.016777217,0.05019,0.45567,5.169925,0.68734795
variable 1,variable 45,0.45403,0.20437449,0.079619974,0.45403,5.169925,0.4996554
variable 1,variable 137,0.44378,0.4162771,0.05039999,0.44378,5.169925,0.16583996
variable 1,variable 121,0.44217,0.07269141,0.064529985,0.44217,5.169925,0.6078475
variable 1,variable 124,0.43648,0.39646786,0.16026998,0.26433,2.5849626,0.20003033
variable 1,variable 65,0.43185,0.31116447,0.040289998,0.43185,5.169925,0.34739822
variable 1,variable 46,0.43023,0.13067836,0.057280004,0.43023,5.169925,0.5473131
variable 1,variable 141,0.42983,0.2775751,0.06816,0.41735,4.807355,0.39019856
variable 1,variable 59,0.42777,0.27001905,0.052569985,0.42777,5.169925,-0.3971787
variable 1,variable 82,0.42679,0.12212959,0.061910003,0.42679,5.169925,0.5519605
variable 1,variable 53,0.42411,0.11463097,0.061089993,0.42411,5.169925,0.5563084
variable 1,variable 51,0.42174,0.10950777,0.04323998,0.42174,5.169925,0.55877745
variable 1,variable 56,0.41926,0.036248595,0.053980023,0.41926,5.169925,0.61887914
variable 1,variable 143,0.41552,-0.033998966,0.065289974,0.41552,5.169925,0.6704618
variable 1,variable 70,0.4027,0.22274752,0.10075,0.4027,5.169925,0.42420807
variable 1,variable 73,0.39925,0.21008235,0.04139,0.39925,5.169925,0.43493408
variable 1,variable 47,0.39131,0.087145954,0.02801001,0.39131,5.169925,0.5515107
variable 1,variable 106,0.38007,0.13738063,0.045899987,0.38007,5.169925,0.49263513
