X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 112,1.0,0.57875323,0.0,-3.4028235E38,2.0,-0.6490353
variable 1,variable 113,1.0,0.5822345,0.0,-3.4028235E38,2.0,-0.6463478
variable 1,variable 115,1.0,0.6363085,0.0,-3.4028235E38,2.0,-0.6030684
variable 1,variable 139,1.0,0.0,0.0,-3.4028235E38,2.0,-1.0
variable 1,variable 45,0.77662,-0.005290091,0.028539956,0.77662,5.169925,0.8842568
variable 1,variable 121,0.76588,-0.10386723,0.049139977,0.76588,5.169925,0.9326024
variable 1,variable 101,0.74805,0.076827586,0.04373002,0.74805,4.807355,0.81928164
variable 1,variable 16,0.744,0.11862224,0.049399972,0.744,5.169925,0.7908083
variable 1,variable 122,0.73944,-0.18419892,0.0,0.73944,2.0,0.96106136
variable 1,variable 55,0.72595,-0.13615018,0.048020005,0.72595,5.169925,0.9284935
variable 1,variable 97,0.72446,0.037188888,0.04806,0.72446,4.807355,0.8290182
variable 1,variable 91,0.7186,0.14152151,0.047960043,0.7186,4.807355,0.7596568
variable 1,variable 53,0.70615,-0.08507103,0.060829997,0.70615,5.169925,0.88950604
variable 1,variable 56,0.70151,-0.095440865,0.053530037,0.70151,5.169925,0.89272106
variable 1,variable 46,0.70091,-0.08491689,0.03342998,0.70091,5.169925,0.88646877
variable 1,variable 143,0.69148,0.04805875,0.045729995,0.69148,5.087463,0.8021354
variable 1,variable 142,0.68742,0.020646334,0.045710027,0.68742,5.169925,0.8165621
variable 1,variable 82,0.68673,-0.07656336,0.032159984,0.68673,5.169925,0.87366664
variable 1,variable 48,0.68505,-0.012329161,0.059329987,0.68505,5.169925,0.8350923
variable 1,variable 50,0.67849,-0.02140522,0.057879984,0.67849,5.169925,0.8365974
variable 1,variable 49,0.66213,-0.039376378,0.04861003,0.66213,5.0,0.83755976
variable 1,variable 65,0.65441,0.195146,0.04667002,0.65441,5.169925,0.6776902
variable 1,variable 73,0.64363,0.16606784,0.03479001,0.64363,5.169925,0.69105875
variable 1,variable 47,0.63389,-0.08432549,0.045159996,0.63389,5.169925,0.84747595
variable 1,variable 51,0.62298,-0.12009287,0.04569,0.62298,4.9068904,0.86201674
